triplet_id,sub_label,rel_label,obj_label
0,mybpc3,Ra,dysf
1,anpep,P,hematologic neoplasms
2,metformin,T,peripheral vascular diseases
3,trpm1,Ra,trpm2
4,cish,E,apcs
5,deferoxamine,E,cd163
6,tor1a,I,haloperidol
7,sds,GG,mat2b
8,bepridil,T,schizophrenia
9,adam10,Rg,ide
10,melphalan,Sa,osteoporosis
11,thalidomide,C,neoplasms
12,neoplasms,ML,ada
13,plcg1,GG,tub
14,flnc,GG,capn3
15,tiotropium,I,cyp3a4
16,loperamide,J,cardiotoxicity
17,hspa5,B,col1a2
18,notch1,Ra,cd37
19,habp2,Iw,cad
20,eif2ak3,P,schizophrenia
21,vwf,P,fibrosis
22,krt10,GG,rpl37
23,cyp19a1,Rg,pgrmc1
24,adenoma,X,apaf1
25,cnga3,GG,cngb3
26,slc16a7,Rg,hmgcs2
27,sitagliptin,N,ada
28,tgfb1,Rg,bmp4
29,fgf8,Rg,nfkb1
30,npy,K,losartan
31,cyp3a4,I,vilazodone
32,cfh,P,gram positive bacterial infections
33,vitamin e,J,kidney diseases
34,liver neoplasms,ML,enpp2
35,kras,Q,igf1
36,tp53,E,rpl11
37,foxm1,Rg,ppp2r2a
38,l lysine,T,respiratory tract infections
39,rab27a,GG,mlph
40,hgf,P,van der woude syndrome
41,auts2,GG,npas3
42,central nervous system neoplasms,ML,pax5
43,synj1,Q,grik1
44,ranolazine,T,atrial fibrillation
45,indomethacin,T,hepatitis b
46,cd44,Q,ccr2
47,ptgs2,P,respiratory tract neoplasms
48,genital neoplasms female,ML,ran
49,methylprednisolone,T,buschke ollendorff syndrome
50,doxorubicin,I,nos3
51,gmppb,GG,mat1a
52,esr1,E,ccnd1
53,neoplasms,ML,sirt3
54,txn,GG,pstpip1
55,arhgef9,GG,gabra2
56,uterine diseases,X,mapk1
57,cdh2,E,gja1
58,ptpn1,I,hyperinsulinism
59,lymphoma non hodgkin,X,bcl2l1
60,quinine,T,renal insufficiency
61,ifng,E,rab5a
62,socs3,Ra,pgr
63,cimetidine,CC,nilotinib
64,aurkb,Rg,aurkb
65,dlg4,Rg,pin1
66,temozolomide,J,hypopigmentation
67,ap4s1,GG,ctse
68,fabp5,GG,rrm2
69,iron,Sa,acidosis
70,hdac1,E,hspa5
71,sult1a1,Rg,sult1a1
72,isyna1,Q,egfr
73,comt,Ra,vkorc1
74,mianserin,E,prl
75,carbamazepine,T,drug eruptions
76,adrb3,I,trihexyphenidyl
77,abcc4,P,fever
78,comt,U,sensation disorders
79,chi3l1,Rg,crp
80,agt,P,hypothyroidism
81,ptgs2,Q,mpo
82,genital neoplasms male,ML,il10
83,tnfrsf9,B,jun
84,hk2,GG,pfkfb1
85,gas6,P,paraproteinemias
86,ppargc1a,Q,pdk4
87,nos2,GG,prkcb
88,apoe,U,abortion habitual
89,il1r2,E,il1b
90,amoxicillin,T,hypersensitivity
91,adcy9,Ra,ptgs2
92,cntn1,GG,cox6b1
93,epo,P,periodontitis
94,cdkn2a,GG,tgfb2
95,gemcitabine,Iw,btc
96,six1,Rg,gata2
97,comp,Q,bmp2
98,kidney neoplasms,ML,pax2
99,gad2,P,diabetes mellitus
100,pyridoxine,J,amino acid metabolism inborn errors
101,cd244,Q,il2
102,hmox1,GG,ppox
103,lapatinib,CC,boceprevir
104,arsenic trioxide,T,cardiotoxicity
105,prkce,Ra,ptgs2
106,ketoconazole,T,hypotrichosis
107,disulfiram,I,cyp3a4
108,cntn2,E,nfkb1
109,p4ha2,GG,rbm8a
110,ifng,GG,cd247
111,hydralazine,J,proteinuria
112,mlh1,Ra,cdh13
113,gastrointestinal neoplasms,ML,crp
114,ursodeoxycholic acid,T,purpura thrombocytopenic idiopathic
115,bcor,B,myc
116,sirt1,Q,akt1
117,prkca,Rg,mapk1
118,col3a1,Q,col3a1
119,lovastatin,N,cd36
120,il4,P,metal metabolism inborn errors
121,hemorrhage,X,alb
122,timp3,Ra,braf
123,bosentan,CC,leflunomide
124,hmga2,Q,sox17
125,txn,P,hypertension
126,liver neoplasms,ML,il23a
127,neoplasms neuroepithelial,ML,abca1
128,bub1b,GG,hdac11
129,itraconazole,Sa,thrombocytopenia
130,triamterene,T,seizures
131,atm,Ra,casp8
132,lymphoma,ML,ms4a1
133,bax,Rg,myc
134,creld1,U,heart defects congenital
135,intellectual disability,ML,lep
136,imipramine,CC,phenelzine
137,scn2a,Ra,chrna2
138,alox15,Ra,ppara
139,nfkb1,D,leukemia lymphoid
140,dexamethasone,E,dusp6
141,exo1,Rg,pms2
142,caffeine,Pr,sensation disorders
143,mitf,Q,ctsk
144,imipramine,T,motion sickness
145,ncoa3,B,sumo1
146,jak1,D,depression
147,vitamin e,T,schizophrenia
148,pyrimethamine,CC,chlorpromazine
149,timolol,Pr,infarction
150,npy,P,major depressive disorder and accelerated response to antidepressant drug treatment
151,pts,Rg,pten
152,snrpn,U,neoplasms
153,nfkb1,B,plcg2
154,simvastatin,E,il13
155,hrh2,I,peptic ulcer
156,baclofen,CC,tapentadol
157,blm,GG,smc1a
158,norethindrone,CC,gliquidone
159,gcgr,Rg,nr3c1
160,eef1a1,GG,bbs4
161,il2,Rg,ahr
162,chek1,GG,tp53
163,pfn1,GG,mapk1
164,fgf2,K,dopamine
165,gch1,GG,pde4b
166,icam1,E,krt8
167,adm,Te,carcinoma
168,ccl5,P,fever
169,cd2,Q,fut4
170,neoplasms connective tissue,ML,nfatc1
171,drd2,I,chlorprothixene
172,mif,E,sema4d
173,abcb7,GG,pus1
174,plg,Ra,pc
175,nicardipine,J,thyroid neoplasms
176,mapk8,Ra,xpc
177,slc6a4,D,alcoholism
178,chek1,U,dyskinesias
179,cebpa,GG,tgfbr1
180,ifnb1,B,hdac1
181,egfr,Rg,rho
182,gabrb2,Rg,ntrk2
183,nr3c1,B,fos
184,cacna1d,I,hyperaldosteronism
185,lupus erythematosus systemic,ML,usp7
186,infections,ML,ctsb
187,ndufab1,GG,psma4
188,norepinephrine,J,myocardial ischemia
189,c5ar1,Q,c3ar1
190,darifenacin,CC,fusidic acid
191,cdc42,Q,mbtps1
192,cyp24a1,GG,cubn
193,diazoxide,T,eclampsia
194,epinephrine,T,myocardial ischemia
195,inflammation,ML,osm
196,topiramate,CC,buprenorphine
197,ppm1d,GG,runx2
198,sars2,GG,cbs
199,foxp3,Q,ncam1
200,taz,Rg,pax8
201,fpr1,GG,mapk13
202,nos2,GG,aifm1
203,serpinb5,U,liver neoplasms
204,pancreatic neoplasms,ML,slc38a1
205,gnrh1,Rg,jund
206,thbs2,Rg,notch1
207,ace2,Rg,ace2
208,egfr,Q,cd82
209,foxo1,U,diabetes mellitus
210,zonisamide,T,epilepsy
211,butalbital,CC,benzphetamine
212,pon1,P,cerebrovascular disorders
213,skin diseases,An,dermatitis
214,sertraline,E,akt1
215,scarb1,E,nr5a1
216,sh2b3,E,tnf
217,aicda,P,sinusitis
218,cryba4,GG,rbp4
219,dyrk3,Rg,dyrk1a
220,hsp90aa1,Ra,smyd2
221,maf,Rg,il10
222,chuk,GG,casp2
223,kit,Rg,il2
224,cacnb2,GG,cacna1h
225,f2,GG,f2rl3
226,esr1,Q,nr3c1
227,s100b,Te,gastrointestinal neoplasms
228,ndufs7,GG,tufm
229,gna12,GG,tec
230,bosentan,CC,solifenacin
231,mapk7,Rg,mapk7
232,stk11,P,intestinal neoplasms
233,serpina1,E,hp
234,il6r,E,il2
235,dntt,GG,nlrp1
236,aqp7,GG,abcc6
237,s100a12,P,overweight
238,rhabdomyolysis,ML,il6
239,grm5,E,adrbk1
240,epinephrine,E,rac1
241,egfr,Ra,nkx2 1
242,gfap,Te,neoplasms neuroepithelial
243,goserelin,CC,solifenacin
244,ostm1,GG,ano3
245,stat3,Rg,grb2
246,carcinoma bronchogenic,ML,cd4
247,adenosine,E,kcnk3
248,grm1,E,atp2b2
249,stambp,GG,cep135
250,neoplasms muscle tissue,ML,bsg
251,didanosine,T,dementia
252,nephritis,X,vcam1
253,csf1,Q,ca2
254,cdk4,GG,esr1
255,eif2ak1,Q,eif2ak3
256,nme1,GG,rora
